48;Ghyslain;Rosselet;ch. du Champ-du-Moulin 1;3186;Düdingen;ghyslain.rosselet@privatemail.com
49;Ghyslaine;Monnard;chemin du Lézard 17;1695;Villarsel-le-Gibloux;ghyslaine.monnard@courriaile.ch
50;Guenièvre;Paccot;rue du Collège 25;1723;Marly;guenievre.paccot@troptopmail.ch
51;Gustave;Botteron;chemin des Charmes 13;1695;Estavayer-le-Gibloux;botteronb@privatemail.com
52;Hilaire;Corboz;chemin de la Tuilerie 3;3185;Schmitten;hilaire7983@courriaile.ch
53;Honoré;Boichat;rue du Weissenstein 18;1674;Vuarmarens;honore3507@privatemail.com
54;Huguette;Bonvin;chemin des Mésanges 10;3210;Kerzers;bonvin6506@zemail.com
55;Isabelle;Muriset;rue du Chantier 17;1567;Delley;isabelle.muriset@blup.com
56;Jean-Marie;Corbat;rue de l'Octroi 23;1789;Lugnorre;jean-marie.corbat@troptopmail.ch
57;Jean-Marie;Crivelli;rue de Boujean 14;1707;Fribourg;jean-marie3695@zemail.com
58;Jeannine;Barillon;rue Adam-Friedrich- Molz 6;1785;Cressier;jeannine7938@blup.com
59;Joëlle;Godet;rue de Flore 10;1475;Forel;godet1807@courriaile.ch
60;Joséphine;Mottet;chemin des Martinets 2;3214;Ulmiz;mottet9435@privatemail.com
61;Julien;Maire;Pré-Künzi 2;1541;Sévaz;julien8628@blup.com
62;Julien;Georges;rue de l'Avenir 4;1685;Villariaz;georgesg@courriaile.ch
63;Justine;Joye;rue Hans- Hugi 13;1642;Sorens;joye1979@troptopmail.ch
64;Laurentin;Dubey;rue Georg-Fr.- Heilmann 24;1696;Vuisternens-en-Ogoz;ldubey@troptopmail.ch
65;Laurentin;Muriset;Champs-du-Soleil 8;1484;Granges-de-Vesin;laurentin3286@troptopmail.ch
66;Léandre;Francillon;ch. Pierre-aux-Sarrasins 2;1740;Neyruz;leandre1621@privatemail.com
67;Léonce;Delèze;rue de la Poste 16;1716;Schwarzsee;ldeleze@courriaile.ch
68;Louise;Bouvier;route du Büttenberg 8;1681;Billens;louise.bouvier@troptopmail.ch
69;Lucie;Pasquier;rue des Hirondelles 13;3186;Düdingen;lucie.pasquier@blup.com
70;Lucien;Comman;rue Georg-Fr.- Heilmann 24;1773;Russy;lucien7306@privatemail.com
71;Lucien;Uldry;rue des Jardins 7;1796;Courgevaux;uldry1107@zemail.com
72;Lucile;Menthonnex;chemin des Palmiers 6;1673;Gillarens;menthonnex1501@troptopmail.ch
73;Ludivine;Bochud;chemin Karl- Mathy 23;1721;Misery-Courtion;bochudb@zemail.com
74;Marc;Brahier;rue de l'Elfenau 12;1735;Giffers;marc.brahier@blup.com
75;Mariette;Carraud;chemin de Scheuren 2;1553;Châtonnaye;carraud2909@troptopmail.ch
76;Mariette;Bonvin;rue du Wasen 6;1721;Cournillens;bonvin4529@privatemail.com
77;Marin;Thorens;Crêt-du-Sable 21;1675;Vauderens;thorens5605@blup.com
78;Marine;Chaudet;chemin Radius 11;1676;Chavannes-les-Forts;marine6100@privatemail.com
79;Marjolaine;Jomini;rue des Cygnes 22;1773;Russy;marjolaine7209@troptopmail.ch
80;Marjolaine;Meyer;rue Neuve 23;1753;Matran;meyer5417@privatemail.com
81;Martine;Vonlanthen;chemin des Landes 9;1699;Bouloz;martine6562@blup.com
82;Mathias;Vermeil;chemin Isabelle 14;1483;Frasses;vermeil3253@troptopmail.ch
83;Matthieu;Chevrolet;rue de l'Hôpital 18;1628;Vuadens;chevroletc@blup.com
84;Maxence;Bahon;Promenade de la Suze 8;1626;Rueyres-Treyfayes;bahonb@troptopmail.ch
85;Méline;Beguin;rue de Boujean 5;1680;Romont;meline.beguin@privatemail.com
86;Mélisande;Bourquard;ruelle de la Fabrique 1;1691;Villarimboud;bourquard7331@courriaile.ch
87;Melisende;Cornuz;rue du Lindenhof 19;1741;Cottens;melisende.cornuz@courriaile.ch
88;Mirabelle;Marti;chemin Mon-Désir 8;1553;Châtonnaye;mirabelle.marti@courriaile.ch
89;Mireille;Boichat;rue des Diamants 19;1634;La Roche;mboichat@blup.com
90;Nadine;Fonjallaz;Crêt-du-Haut 13;1470;Estavayer-le-Lac;fonjallaz9110@blup.com
91;Nicolette;Vallélian;rue Fritz- Oppliger 11;1793;Jeuss;nvallelian@troptopmail.ch
92;Noèle;Matile;Pont-du- Moulin 22;1744;Chénens;nmatile@blup.com
93;Noémie;Beuchat;rue Johann- Renfer 6;3280;Meyriez;noemie.beuchat@troptopmail.ch
94;Noémie;Niquille;rue des Diamants 19;1475;Autavaux;niquillen@courriaile.ch
95;Odette;Nüsslin;chemin des Barques 11;1653;Crésuz;nüsslinn@blup.com
96;Odilon;Polla;rue Franche 17;3184;Wünnewil;odilon3881@blup.com
97;Olivier;Deladoëy;chemin des Oeuches 22;1674;Vuarmarens;deladoëy6427@privatemail.com
98;Olivier;Peitrequin;rue Arrière 4;1544;Gletterens;peitrequinp@troptopmail.ch
99;Ophélie;Barman;rue de la Leugene 19;1541;Sévaz;obarman@privatemail.com
100;Paschal;Crivelli;chemin du Long-Champ 8;1678;Siviriez;crivelli2928@blup.com
101;Paule;Blanc;rue des Prés 25;1624;Progens;paule4436@privatemail.com
102;Quentin;Bouvier;ruelle de la Fabrique 11;1685;Villariaz;quentin.bouvier@blup.com
103;Rémy;Pasquier;rue du Viaduc 24;1694;Chavannes-sous-Orsonnens;rpasquier@blup.com
104;Reynaud;Peitrequin;rue des Prés 12;1685;Villariaz;reynaud.peitrequin@troptopmail.ch
105;Roch;Gubéran;rue du Wasen 1;1542;Rueyres-les-Prés;roch.guberan@privatemail.com
106;Romain;Quartier;chemin Geyisried 18;1616;Attalens;romain2816@privatemail.com
107;Romain;Jomini;Faubourg du Jura 18;1782;La Corbaz;romain4836@courriaile.ch
108;Roul;Evéquoz;rue Jean- Sessler 8;1713;St. Antoni;evequoze@troptopmail.ch
109;Sophie;Comman;chemin de Beaulieu 10;1756;Onnens;comman2716@courriaile.ch
110;Suzanne;Menthonnex;chemin des Bluets 24;1623;Semsales;smenthonnex@privatemail.com
111;Sylvianne;Monnard;chemin Johann- Lisser 10;3185;Schmitten;monnard7773@blup.com
112;Sylvianne;Rey;chemin Saint-Paul 9;1679;Villaraboud;sylvianne4746@blup.com
113;Théo;Bernasconi;Champs-du-Soleil 17;1723;Pierrafortscha;theo6732@privatemail.com
114;Théo;Uldry;route de Reuchenette 19;1688;Lieffrens;uldry4908@courriaile.ch
115;Thérèse;Chatriand;rue du Milieu 8;1788;Praz;therese.chatriand@privatemail.com
116;Thibault;Mottiez;Crêt-du-Sable 12;1609;Fiaugères;tmottiez@courriaile.ch
117;Victoire;Privet;rue de Mâche 6;1724;Senèdes;victoire.privet@zemail.com
118;Virginie;Robadey;rue des Alpes 16;1532;Fötigny;virginie8324@privatemail.com
119;Vivienne;Charpié;rue de la Gare 19;1609;Fiaugères;vcharpie@courriaile.ch
120;Zénaïde;Beuret;chemin des Dahlias 22;3186;Düdingen;beuretb@privatemail.com
121;Zénaïde;Isella;Longue-Rue 5;1663;Pringy;zenaide.isella@blup.com
